timestamp,radius,total_reward,success
2026-07-21 21:01:59,4.0,49.999,1
2026-07-21 21:02:08,4.0,49.999,1
2026-07-21 21:02:18,4.0,49.999,1
2026-07-21 21:02:28,4.0,49.998,1
2026-07-21 21:02:49,4.0,49.999,1
2026-07-21 21:03:01,4.0,49.994,1
2026-07-21 21:03:11,4.0,49.998,1
2026-07-21 21:03:45,4.0,49.999,1
2026-07-21 21:03:59,4.0,-0.0,0
2026-07-21 21:04:09,4.0,49.998,1
2026-07-21 21:04:19,4.0,49.998,1
2026-07-21 21:04:33,4.0,49.999,1
2026-07-21 21:06:21,4.0,49.998,1
2026-07-21 21:06:35,4.0,49.999,1
2026-07-21 21:06:45,4.0,49.999,1
2026-07-21 21:06:53,4.0,49.968,1
2026-07-21 21:07:02,4.0,49.999,1
2026-07-21 21:07:12,4.0,49.999,1
2026-07-21 21:07:22,4.0,49.999,1
