timestamp,radius,total_reward,success
2026-07-21 21:09:01,4.0,49.99,1
2026-07-21 21:09:12,4.0,49.996,1
2026-07-21 21:09:22,4.0,49.989,1
2026-07-21 21:09:33,4.0,49.99,1
2026-07-21 21:09:46,4.0,49.992,1
2026-07-21 21:10:00,4.0,49.989,1
2026-07-21 21:10:10,4.0,49.988,1
2026-07-21 21:10:29,4.0,49.988,1
2026-07-21 21:10:42,4.0,49.994,1
2026-07-21 21:10:52,4.0,49.99,1
2026-07-21 21:11:02,4.0,49.99,1
2026-07-21 21:11:15,4.0,49.99,1
2026-07-21 21:11:25,4.0,49.995,1
2026-07-21 21:11:36,4.0,49.99,1
2026-07-21 21:11:46,4.0,49.975,1
2026-07-21 21:12:01,4.0,49.988,1
2026-07-21 21:12:11,4.0,49.987,1
2026-07-21 21:12:20,4.0,49.989,1
2026-07-21 21:12:32,4.0,49.99,1
