s0,s1,s2,s3,s4,t0,a0,a1,a2,a3,a4
716.0,666.0,685.0,664.0,727.0,4.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,25.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,15.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,4.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,32.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,8.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,23.0,170,0,0,0,0
717.0,665.0,684.0,664.0,727.0,16.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,15.0,170,0,0,0,0
717.0,666.0,685.0,665.0,727.0,0.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,33.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,7.0,170,0,0,0,0
718.0,666.0,685.0,664.0,727.0,16.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,4.0,170,0,0,0,0
717.0,666.0,685.0,664.0,728.0,4.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,8.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,16.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,17.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,16.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,35.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,15.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,7.0,170,0,0,0,0
717.0,666.0,685.0,665.0,728.0,7.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,16.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,7.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,14.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,4.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,8.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,4.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,4.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,7.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,23.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,25.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,23.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,0.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,15.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,6.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,9.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,19.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,16.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,0.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,25.0,170,0,0,0,0
717.0,666.0,685.0,665.0,727.0,15.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,17.0,170,0,0,0,0
717.0,666.0,684.0,664.0,727.0,6.0,170,0,0,0,0
717.0,666.0,685.0,664.0,727.0,7.0,170,0,0,0,0
717.0,666.0,684.0,664.0,727.0,21.0,170,0,0,0,0
717.0,666.0,684.0,664.0,727.0,7.0,170,0,0,0,0
717.0,665.0,684.0,664.0,727.0,35.0,170,0,0,0,0
717.0,666.0,684.0,664.0,727.0,15.0,170,0,0,0,0
717.0,665.0,684.0,664.0,727.0,15.0,170,0,0,0,0
717.0,666.0,684.0,664.0,727.0,6.0,170,0,0,0,0
717.0,666.0,684.0,664.0,727.0,32.0,170,0,0,0,0
717.0,665.0,684.0,664.0,727.0,27.0,170,0,0,0,0
717.0,666.0,685.0,665.0,727.0,7.0,170,0,0,0,0
717.0,665.0,684.0,664.0,727.0,8.0,170,0,0,0,0
