timestamp,radius,hardness,total_reward,success
2026-05-22 20:52:21,4.0,hard,-48.782,1
2026-05-22 20:52:39,4.0,hard,-195.969,1
2026-05-22 20:52:58,4.0,hard,-91.695,1
2026-05-22 20:53:19,4.0,hard,-132.619,1
2026-05-22 20:53:36,4.0,hard,-54.551,1
2026-05-22 20:53:57,4.0,hard,-72.593,1
2026-05-22 20:54:16,4.0,hard,-23.43,1
2026-05-22 20:54:40,4.0,hard,-75.126,1
2026-05-22 20:54:59,4.0,hard,-65.258,1
2026-05-22 20:55:16,4.0,hard,-39.58,1
2026-05-22 20:55:36,4.0,hard,-55.003,1
2026-05-22 20:55:52,4.0,hard,-41.177,1
2026-05-22 20:56:09,4.0,hard,-53.692,1
2026-05-22 20:56:25,4.0,hard,-93.434,1
2026-05-22 20:56:42,4.0,hard,-82.887,1
2026-05-22 20:56:58,4.0,hard,-51.471,1
2026-05-22 20:57:15,4.0,hard,-99.874,1
2026-05-22 20:57:32,4.0,hard,-46.24,1
2026-05-22 20:57:50,4.0,hard,-117.518,1
2026-05-22 21:07:33,6.0,hard,-257.091,1
2026-05-22 21:07:47,6.0,hard,-217.177,1
2026-05-22 21:10:29,6.0,hard,-322.087,1
2026-05-22 21:10:58,6.0,hard,-402.754,1
2026-05-22 21:11:20,6.0,hard,-343.397,1
2026-05-22 21:11:36,6.0,hard,-204.318,1
2026-05-22 21:11:52,6.0,hard,-309.075,1
2026-05-22 21:12:07,6.0,hard,-200.408,1
2026-05-22 21:12:22,6.0,hard,-87.667,1
2026-05-22 21:12:39,6.0,hard,-155.148,1
2026-05-22 21:12:54,6.0,hard,-200.931,1
2026-05-22 21:13:10,6.0,hard,-154.591,1
2026-05-22 21:13:26,6.0,hard,-204.655,1
2026-05-22 21:13:41,6.0,hard,-266.071,1
2026-05-22 21:13:57,6.0,hard,-128.083,1
2026-05-22 21:14:13,6.0,hard,-242.17,1
2026-05-22 21:14:29,6.0,hard,-178.928,1
2026-05-22 21:14:43,6.0,hard,-223.683,1
2026-05-22 21:14:58,6.0,hard,-152.395,1
2026-05-22 21:26:12,4.0,hard,-106.921,1
2026-05-22 21:26:56,4.0,hard,-105.003,1
2026-05-22 21:27:42,4.0,hard,-128.967,1
2026-05-22 21:28:00,4.0,hard,-132.82,1
2026-05-22 21:28:21,4.0,hard,-36.231,1
2026-05-22 21:28:37,4.0,hard,-60.122,1
2026-05-22 21:28:54,4.0,hard,-46.08,1
2026-05-22 21:29:10,4.0,hard,-68.637,1
2026-05-22 21:29:27,4.0,hard,-42.986,1
2026-05-22 21:29:46,4.0,hard,-58.711,1
2026-05-22 21:30:05,4.0,hard,-43.29,1
2026-05-22 21:30:24,4.0,hard,-30.117,1
2026-05-22 21:30:41,4.0,hard,-23.145,1
2026-05-22 21:30:57,4.0,hard,-141.141,1
2026-05-22 21:31:14,4.0,hard,-33.334,1
2026-05-22 21:31:31,4.0,hard,-61.575,1
2026-05-22 21:31:49,4.0,hard,-86.55,1
2026-05-22 21:32:06,4.0,hard,-118.138,1
2026-05-22 21:32:23,4.0,hard,-95.639,1
2026-05-22 21:32:40,4.0,hard,-50.933,1
2026-05-22 21:33:52,4.0,hard,-17.55,1
2026-05-22 21:34:08,4.0,hard,-49.874,1
2026-05-22 21:34:26,4.0,hard,-117.938,1
2026-05-22 21:34:44,4.0,hard,-71.167,1
2026-05-22 21:35:00,4.0,hard,-26.953,1
2026-05-22 21:35:17,4.0,hard,-2.281,1
2026-05-22 21:35:34,4.0,hard,-59.271,1
2026-05-22 21:35:50,4.0,hard,-10.9,1
2026-05-22 21:36:57,6.0,hard,-210.312,1
2026-05-22 21:37:12,6.0,hard,-59.167,1
2026-05-22 21:37:27,6.0,hard,-13.615,0
2026-05-22 21:37:50,6.0,hard,-103.455,1
2026-05-22 21:38:06,6.0,hard,-135.733,1
2026-05-22 21:38:21,6.0,hard,-176.772,1
2026-05-22 21:38:37,6.0,hard,-173.035,1
2026-05-22 21:38:52,6.0,hard,-144.616,1
2026-05-22 21:39:09,6.0,hard,-154.616,1
2026-05-22 21:39:24,6.0,hard,-150.888,1
2026-05-22 21:39:40,6.0,hard,-145.687,1
2026-05-22 21:39:55,6.0,hard,-154.472,1
2026-05-22 21:40:10,6.0,hard,-190.592,1
2026-05-22 21:40:27,6.0,hard,-134.562,1
2026-05-22 21:40:41,6.0,hard,-204.135,1
2026-05-22 21:40:56,6.0,hard,-134.636,1
2026-05-22 21:41:10,6.0,hard,-177.056,1
2026-05-22 21:41:25,6.0,hard,-123.473,1
2026-05-22 21:41:40,6.0,hard,-305.197,1
2026-05-22 21:41:54,6.0,hard,-123.328,1
