timestamp,radius,total_reward,success
2026-07-21 19:03:51,4.0,49.994,1
2026-07-21 19:04:01,4.0,-0.0,0
2026-07-21 19:04:10,4.0,-0.005,0
2026-07-21 19:04:21,4.0,-0.007,0
2026-07-21 19:04:46,4.0,49.993,1
2026-07-21 19:04:55,4.0,-0.007,0
2026-07-21 19:05:05,4.0,-0.0,0
2026-07-21 19:05:14,4.0,-0.0,0
2026-07-21 19:05:23,4.0,49.994,1
2026-07-21 19:05:33,4.0,-0.006,0
2026-07-21 19:05:43,4.0,-0.0,0
2026-07-21 19:05:54,4.0,49.995,1
2026-07-21 19:06:04,4.0,-0.0,0
2026-07-21 19:06:13,4.0,-0.007,0
2026-07-21 19:06:23,4.0,-0.0,0
2026-07-21 19:06:33,4.0,49.993,1
2026-07-21 19:06:45,4.0,49.996,1
2026-07-21 19:06:54,4.0,49.992,1
2026-07-21 19:07:06,4.0,49.993,1
2026-07-21 19:07:17,4.0,49.993,1
2026-07-21 19:07:29,4.0,49.992,1
2026-07-21 19:07:43,4.0,49.993,1
2026-07-21 19:07:57,4.0,49.993,1
2026-07-21 19:08:09,4.0,49.993,1
2026-07-21 19:08:18,4.0,-0.004,0
2026-07-21 19:08:27,4.0,-0.003,0
2026-07-21 19:08:38,4.0,-0.001,0
2026-07-21 19:08:47,4.0,49.994,1
2026-07-21 19:08:58,4.0,49.993,1
2026-07-21 19:09:07,4.0,49.993,1
2026-07-21 19:09:21,4.0,49.993,1
2026-07-21 19:09:47,4.0,49.99,1
2026-07-21 19:09:58,4.0,49.991,1
2026-07-21 19:10:08,4.0,-0.003,0
2026-07-21 19:10:18,4.0,-0.0,0
2026-07-21 19:10:27,4.0,49.996,1
2026-07-21 19:10:41,4.0,49.994,1
2026-07-21 19:11:19,4.0,49.993,1
2026-07-21 19:11:29,4.0,-0.001,0
2026-07-21 19:11:38,4.0,-0.0,0
2026-07-21 19:11:53,4.0,49.994,1
2026-07-21 19:12:02,4.0,-0.0,0
2026-07-21 19:12:12,4.0,-0.0,0
2026-07-21 19:12:25,4.0,49.995,1
2026-07-21 19:12:35,4.0,-0.059,0
2026-07-21 19:12:46,4.0,49.993,1
2026-07-21 19:12:56,4.0,49.995,1
2026-07-21 19:13:06,4.0,-0.0,0
2026-07-21 19:13:21,4.0,49.994,1
2026-07-21 19:31:24,4.0,49.991,1
2026-07-21 19:31:41,4.0,49.992,1
2026-07-21 19:31:52,4.0,-0.0,0
2026-07-21 19:32:02,4.0,49.993,1
2026-07-21 19:32:12,4.0,-0.0,0
2026-07-21 19:32:22,4.0,-0.04,0
2026-07-21 19:32:31,4.0,49.986,1
2026-07-21 19:32:43,4.0,49.99,1
2026-07-21 19:32:56,4.0,-0.0,0
2026-07-21 19:33:05,4.0,49.994,1
2026-07-21 19:33:30,4.0,49.992,1
2026-07-21 19:33:39,4.0,-0.005,0
2026-07-21 19:33:48,4.0,49.994,1
2026-07-21 19:33:59,4.0,49.995,1
2026-07-21 19:34:08,4.0,49.994,1
2026-07-21 19:34:18,4.0,49.993,1
2026-07-21 19:34:33,4.0,49.995,1
2026-07-21 19:34:47,4.0,49.991,1
2026-07-21 19:35:20,4.0,49.993,1
2026-07-21 19:35:37,4.0,-0.006,0
2026-07-21 19:35:48,4.0,-0.0,0
2026-07-21 19:44:09,4.0,-0.0,0
2026-07-21 19:44:19,4.0,-0.0,0
2026-07-21 19:44:28,4.0,49.993,1
2026-07-21 19:44:39,4.0,49.993,1
2026-07-21 19:44:53,4.0,49.994,1
2026-07-21 19:45:05,4.0,49.988,1
2026-07-21 19:45:28,4.0,49.995,1
2026-07-21 19:45:42,4.0,-0.004,0
2026-07-21 19:45:59,4.0,49.993,1
2026-07-21 19:48:05,4.0,0.0,0
2026-07-21 19:48:17,4.0,50.0,1
2026-07-21 19:48:29,4.0,50.0,1
2026-07-21 19:48:40,4.0,50.0,1
2026-07-21 19:48:50,4.0,0.0,0
2026-07-21 19:48:59,4.0,50.0,1
2026-07-21 19:49:09,4.0,50.0,1
2026-07-21 19:49:18,4.0,50.0,1
2026-07-21 19:49:30,4.0,50.0,1
2026-07-21 19:49:44,4.0,50.0,1
2026-07-21 19:49:55,4.0,0.0,0
2026-07-21 19:50:05,4.0,0.0,0
2026-07-21 19:50:19,4.0,50.0,1
2026-07-21 19:50:32,4.0,50.0,1
2026-07-21 19:50:43,4.0,50.0,1
2026-07-21 19:50:52,4.0,50.0,1
2026-07-21 19:51:02,4.0,0.0,0
2026-07-21 19:51:12,4.0,50.0,1
2026-07-21 19:51:21,4.0,50.0,1
2026-07-21 19:51:33,4.0,50.0,1
2026-07-21 20:25:02,4.0,-0.0,0
2026-07-21 20:25:15,4.0,49.995,1
